id,technology_type_id,label,definition,synonyms
fam_depot_microsphere,tech_dds,Polymeric microspheres (PLGA/PLA),"Biodegradable polymer microspheres forming a depot at injection site to release API over weeks–months.","microspheres;microsphere;PLGA microspheres;polymeric microshpere;Medisorb;CriPec;DiffuSphere"
fam_depot_in_situ,tech_dds,In-situ forming depot (ISFD),"Liquid injectables that solidify in situ (solvent exchange/thermal gelation) to create a controlled-release depot.","ISFD;in situ depot;Atrigel;FluidCrystal;SmartDepot;bepo"
fam_liposome_mvl,tech_dds,Multivesicular liposomes,"MVL structures enabling extended release (e.g., DepoFoam/BioSeizer).","MVL;DepoFoam;BioSeizer;multivesicular liposome"
fam_liposome_std,tech_dds,Liposomes / lipid vesicles,"Conventional or engineered liposomes supporting sustained release or targeting.","liposome;liposomal;PLEX"
fam_hydrogel_thermo,tech_dds,Thermo-responsive hydrogel,"Sol–gel transition hydrogels (e.g., RTGel) forming depot post-injection.","hydrogel;thermo-gel;RTGel"
fam_liquid_crystal,tech_dds,Liquid crystalline depot,"Liquid crystal systems (e.g., glycerol monooleate-based) forming long-acting depots.","liquid crystal;FluidCrystal"
fam_nanosuspension,tech_dds,Nanosuspension / nanocrystal,"Poorly soluble APIs as nano/micro suspensions enabling slow dissolution and extended exposure.","nanocrystal;micro/nano suspension;nanosizing"
fam_emulsion,tech_dds,Long-acting emulsion,"Oil-in-water or water-in-oil emulsions for prolonged release.","emulsion;lipid emulsion;oil-based"
fam_prodrug_depot,tech_dds,Depot-forming prodrug,"Prodrug designed to precipitate/form depot locally and release API over time.","depot prodrug;long-acting prodrug"
fam_pasylation,tech_hle,PASylation,"Genetic fusion with Pro/Ala/Ser repeats to increase hydrodynamic radius and half-life.","PAS;PASylation"
fam_pegylation,tech_hle,PEGylation,"Covalent attachment of polyethylene glycol to increase size, reduce clearance, extend half-life.","PEG;PEGylation;site-specific PEGylation"
fam_fc_fusion,tech_hle,Fc fusion,"Fusion to IgG Fc to leverage FcRn recycling and extend systemic half-life.","Fc-fusion;IgG Fc fusion"
fam_albumin_binding,tech_hle,Albumin binding / Albumin fusion,"Albumin fusion or fatty-acid lipidation to bind albumin and extend half-life.","albumin fusion;albumin-binding;lipidation;fatty acid conjugation"
fam_xten,tech_hle,XTEN / unstructured polypeptide extension,"Fusion to unstructured hydrophilic polypeptides (e.g., XTEN) to extend half-life.","XTEN;polypeptide extension"
fam_glyco_engineering,tech_hle,Glyco-engineering,"Engineering of N-glycans or sialylation to reduce clearance and prolong exposure.","glycan engineering;sialylation"
fam_site_specific_mut,tech_hle,Sequence/structure engineering,"Amino-acid substitutions or site-specific conjugation to reduce clearance or enhance target engagement.","AA substitution;site-specific conjugation;protein engineering"