id,label,synonyms,tags
depot,Depot / Controlled Release,"depot;long-acting;sustained release;extended release;long duration",""
polymeric_microsphere,Polymeric Microsphere,"microspheres;Medisorb;DiffuSphere;StratÎ¼m;CriPec","polymer_based;microsphere_based"
liposome_mvl,Multivesicular Liposome,"DepoFoam;BioSeizer;multivesicular liposome;MVL","liposome_based"
hydrogel,Hydrogel / In-situ Gel,"gel;RTGel;liquid crystal gel","hydrogel_based"
fluid_crystal,FluidCrystal Depot,"ISFD;FluidCrystal","hydrogel_based"
nanoparticle,Polymeric Nanoparticle,"nanoparticles;nano-particles","nanosizing_based;polymer_based"
nanocrystal,Nanocrystal,"nanocrystal formulation","nanosizing_based"
oil_based,Oil-based Depot,"oily depot;oil vehicle","oil_based;emulsion_based"
emulsion,Lipid Emulsion,"emulsion carrier;lipid emulsion","emulsion_based"
biopolymer_matrix,Biopolymer Matrix,"matrix;polymer-lipid matrix;PLEX","polymer_based"
implant,Implantable Depot,"implant;implantable",""
prodrug_depot,Pro-drug (Depot use),"prodrug depot;long-acting pro-drug","prodrug_based"
device_combo,Device Combination,"autoinjector;patch pump;device-combo",""
atrigel_brand,Atrigel (Brand),"Atrigel","polymer_based;hydrogel_based"
smartdepot_brand,SmartDepot (Brand),"SmartDepot Platform Technology","polymer_based;microsphere_based"
pg_depot_brand,PG-Depot (Brand),"PG-Depot","polymer_based"
poz_brand,POZ (Brand),"POZ technology","polymer_based"